Company Name,Industry,Location
Pepsi,Beverages (non-alcoholic),New York
Honda Motor Company,Automobile,Tokyo
Coca-Cola,Soft Drinks,Atlanta
Amazon,Internet software & services,Seattle
Virgin Group,Transportation,London
Intel,Computer software,Santa Clara
vivo,Communications Equipment,Dongguan
Amazon,Internet Software & Services,Seattle
Siemens,Electrical/Electronic Manufacturing,Munich
Microsoft,Computer Software,Redmond
Honeywell,Manufacturing,Charlotte
PepsiCo,Food and Beverage Stores,Purchase
Coca-Cola,Soft drinks manufacturing,Atlanta
Cisco Systems Inc,Networking Software,San Jose
Jack Daniel's,Distilled spirits,Lynchburg
Microsoft,Computer Software,Redmond
Abu Dhabi Investment Authority,Financial Services,Abu Dhabi
Boeing,Aerospace,Chicago
L'Oréal,Cosmetics,Paris
Samsung,Semiconductors,Suwon
Coca-Cola,Beverage Manufacturing,Atlanta
Eastman Kodak Company,Photographic equipment,Rochester
Kohler Co.,Manufacturing,Kohler
IBM,Information Technology,Armonk
Ericsson,Telecommunication equipment,Stockholm
The Bank of New York Mellon,Finance,New York
LSNCA,Information services,London
MCDONALD&#39;S,Restaurants,Chandigarh
Citibank,Commercial Bank,New York
Kotak Mahindra Bank Limited,Banks,Mumbai
Toshiba,Electrical/electronic manufacturing,Tokyo
VISA,Banking & Financial,San Francisco
Nestle,Food Products,Vevey
True Value,General Merchandise Stores,Glenview
"Amazon.com, Inc.",Internet software & services,Seattle
Mitsubishi Motors,Automotive,Tokyo
Royal Bank Of Scotland,Retail banking,Edinburgh
LG Electronics,Manufacturing,Seoul
Atlas Copco,Manufacturing,Stockholm
J.P. Morgan,Finance,New York
Sony Interactive Entertainment,Computer Games,San Mateo
Dell,Computer hardware,Round Rock
Ford Motor Company,"Motor vehicles, body, trailers",Dearborn
DHL,Logistics,"Bonn, North Rhine-Westphalia"
MILLER COORS LLC,Beverages Manufacturing,Chicago
Samsung,Manufacturing,SÃ£o Paulo
Nestle,Food Products,Vevey
Apple,Technology Hardware & Equipment,Cupertino
CATL,Electric power generation equipment and plants,Foshan
L'Oreal,Personal Care Products (Excluding Cosmetics),Clichy
Kellogg,FOOD PRODUCTS,Battle Creek
Tesla Inc,Motor vehicle manufacturing,Palo Alto
Shell,oil and gas,London
Yelp,Internet software & services,San Francisco
Bose,Consumer Electronics,Framingham
Northrop Grumman,Aerospace & Defense,Los Angeles
The Coca-Cola Company,Drinks,Atlanta
AMD,Computer hardware,Santa Clara
Tata Sons,Automotive,Mumbai
Ford,Motor vehicles,Detroit
Ford,Automobile,Dearborn
Nestle,Food Products,Vevey
Adobe,Computer Software,San Jose
MATTEL INC,Toys,EL SEGUNDO
Rockwell Automation,Manufacturing,Milwaukee
Dover,Wholesale,Dover
McDonald's,Restaurants,Oak Brook
Siemens,Manufacturing,Munich
PepsiCo,Food Products,Purchase
Nestle,Food Products,Vevey
Samsung,Manufacturing,Seoul
Burger King,Restaurants,Miami
Ericsson,Telecommunications Equipment,Stockholm
Renault,Motor vehicle and parts manufacturing,France
Walmart,Retail,Bentonville
Adobe,Software,San Jose
Bio Telemetrics,Medical Appliances,Brooklyn
DXC Technology,Information Technology,"Tysons, VA"
Mcdonald's,Restaurants,Wilmington
Tata Sons,Automobiles,Mumbai
HONDA,Motor Vehicle Manufacturing,Toronto
Comcast,Telecommunications,Philadelphia
AMD,Semiconductors,Santa Clara
Uber Technologies Inc.,Transportation Network Company (TNC),San Francisco
Sprite,Beverages,London
Airtel,Telecommunications,Bangalore
T-Mobile,Telecommunications,Bellevue
Avis,Rental car agency,Englewood
Tesco,Food and Beverage Stores,London
CISCO,Internet Software & Services,San Jose
PayPal Holdings Inc.,Finance,San Jose
Colgate-Palmolive Company,Home Furnishings,New York
Toyota Motor Corp,Automotive,Toyota City
Tesla,Motor Vehicles,Austin
Dell Technologies,Computer Hardware and Software,Round Rock
Komatsu,Manufacturing,Tokyo
Citi Trends,Retail,Lawrenceville
Garmin Ltd,Electronic Equipment,Kansas
"'Amazon.com, Inc.'",'Internet software & services','Seattle'
COCA-COLA COMPANY,Beverages (non-alcoholic),ATLANTA
Mitsubishi Motors,Automotive,Tokyo
Mcdonald's,Restaurants,Chicago
National Power Corporation,Electric Power Generation,Bacolod
Samsung,Electronics,Seoul
Tesla Motors,Automotive industry,Palto Alto
Nike,Retail,Beaverton
Scania,Truck & Bus Manufacturing,Södertälje
Japan Tobacco,Tobacco,Tokyo
General Electric,Electrical Equipment Manufacturing,Fairfield
Samsung,Consumer electronics,Suwon
Nyse,Industrial,New York
Box,Computer Software,Redwood City
Accenture,Information Technology and Services,Mumbai
Walmart,Retail,Bentonville
Juniper,Computer software,Sunnyvale
Starbucks,Food and Beverage Stores,Seattle
Levi Strauss & Co.,Apparel & Luxury Goods,San Francisco
Akamai Technologies,Internet Software & Services,Cambridge
Bloomberg,Financial services,New York
AXA,Insurance carrier,Paris
Bharti Airtel Limited,Telecommunication Services,Delhi
Google,Internet software & services,Mountain View
JC Penney,Retail trade,Plano
LG Corporation,Consumer Electronics,Seoul
Kellogg Company,Canned & preserved fruit & vegetables,Battle Creek
Bharti Airtel,Telecommunications,New Delhi
Cisco Systems,Technology Hardware & Equipment,San Jose
Amazon,Internet software & services,Seattle
Arcelor Mittal,Metals & Mining,Kolkata
Alibaba,Retailing,Hangzhou
Samsung Group,Manufacturing,Seoul
Ford,Automotive,Detroit
eBay,Online Shopping,San Jose
Glenmark Pharmaceuticals,Pharmaceuticals,Mumbai
Exxon Mobil Corporation,Oil and Gas Extraction,Irving
British American Tobacco,Tobacco,London
HARMAN International,Automotive Parts,Northridge
PepsiCo,Consumer Goods,Purchase
"Samsung Electronics Co., Ltd.",Computer Peripheral Equipment,Seoul
Coca-Cola,Consumer Goods,Atlanta
H&R Block,Financial services,Kansas City
Microsoft,Computer Software,Redmond
UltraTech Cement Ltd,Cement,"Mumbai, Maharashtra"
"Amazon.com, Inc.",Internet software & services,Seattle
Cosmos Bank,Banks,Mumbai
"Marlin Steel Wire Products, Inc.",Manufacturing,Baltimore
Cox Enterprises Inc.,Industrial Machinery & Components,Atlanta
'Samsung','Manufacturing',Seoul
'NIKKEI REPORTING SYSTEM','Computer Software',Tokyo
Coca Cola,Beverage Manufacturing,Atlanta
Apple,Computer Software,Cupertino
Microsoft,Internet software & services,Redmond
Yahoo!,Internet software & services,Santa Clara
Alpine,Manufacturing,Germany
Samsung Electronics,Consumer Electronics,Samsung-dong
FOREIGN & COLONIAL INVESTMENT TRUST PLC,Real Estate Activities,London
Royal Dutch Shell PLC,Oil and Gas Extraction,The Hague
Samsung,Consumer goods,Seoul
Visa Inc.,Banking & financial services - consumer services,San Francisco
Uber,Transportation,San Francisco
"Beijing Gongyi Chuanye Technology Co., Ltd.",Information technology services,Beijing
Total Rewards,Professional services,Round Rock
Dell Inc.,Computer hardware,Round Rock
Unilever,Food & Staples Retailing,London
US Steel,Iron and steel manufacturing,Pittsburgh
The Walt Disney Company,Motion Picture and Video Production,Burbank
Shutterstock,Photography,New York
Sony,Consumer electronics,Tokyo
MOL-80,Oil and Gas Exploration and Production,DELHI
JLL,Real Estate,New York
Microsoft Corporation,Computer Software,Redmond
FedEx,Courier Services,Memphis
Nutanix,Software,San Jose
Ericsson,Telecommunication,Stockholm
Cisco,Computer Software,San Jose
Amazon,Technology,Seattle
APPLE INC.,Computer Software,Cupertino
Puma,Manufacturing,Herzogenaurach
Toyota,Automobiles,Tokyo
Coca-Cola,Manufacturing,Atlanta
NASA,Aerospace,Washington
Wells Fargo,Banking,San Francisco
Lyft,Transportation,San Francisco
Carlsberg,Breweries,Copenhagen
Walmart Inc,Retail,Bentonville
Mastercard,Finance and insurance,"Purchase, NY"
Harvard Business School,Higher Education and Instruction,Boston
Nestle,Food Products,Vevey
Shell International Exploration and Production B.V.,Oil and gas extraction,The Hague
Tata,Manufacturing,Kolkata
DataStax,Information Technology,San Francisco
'Sanofi-Aventis',Pharmaceuticals,Paris
Lowe's,Home Improvement Stores,Mooresville
Aon,Insurance,Chicago
FedEx Corporation,Transportation,Memphis
Starbucks,Café & Restaurants,Seattle
Dell Technologies,Computer Software,Round Rock
"L.L.Bean, Inc.",Retail,Freeport
Roneco Inc,Metals and Minerals,Naperville
Samsung,Manufacturing,Suwon
LG Electronics,Manufacturing,Seoul
Adobe,Computer Software,San Jose
INTEL,Computer peripherals,Santa Clara
Idea Cellular,Telecommunications,Mumbai
"Amazon.com, Inc.",Internet software & services,Seattle
Nike,Apparel,Beaverton
'Royal Dutch Shell plc',Oil and gas extraction,The Hague
ABM Industries,Real Estate,New York
Mérieux NutriSciences,Food and Beverages,Baltimore
Amazon.com,Technology-Software,Seattle
Tesco,Food and drug stores,Hertfordshire
The Coca-Cola Company,Food & Staples Retailing,Atlanta
Walmart,Retail,Bentonville
Bharat Petroleum Corporation Limited,Energy,Mumbai
Bharat Oman Refineries Limited,Petroleum Refineries,Mumbai
Tyson Foods,Food Products,Springdale
Google,Internet software & services,Mountain View
P&G,Consumer Goods,Cincinnati
Dell,Computer Hardware,Round Rock
Dell,Computer Hardware,Round Rock
Moto G,Communication equipment,London
P&G,Personal Products,Cincinnati
Coca-Cola,Soft drinks,Atlanta
PepsiCo,Food products,Purchase
Nike,Retail trade,Beaverton
Boeing,Aerospace & Defence,Chicago
ERICSSON,Telecommunications Equipment,Stockholm
"Newell Brands, Inc.",Consumer Non-Durables,Hoffman Estates
Honda,Automobile Parts & Accessories,Tokyo
Apple,Computer Software,Cupertino
Adidas AG,Apparel & footwear,Herzogenaurach
KFC,Other food services,Cupertino
Rain Industries Ltd.,Manufacturing,Mumbai
Toyota,Automotive,Toyota
Aushadhi,Drugs and Pharmaceuticals,Mumbai
HONDA,Automobile Manufacturing,Tokyo
Google LLC,Internet software & services,Mountain View
Xerox,Office equipment and supplies merchant wholesalers,Rochester
"Yum! Brands, Inc.",Restaurants,Louisville
Novozymes,Life Sciences,Bagsvaerd
Tesla Inc.,Motor vehicles,Austin
Body Shop,Personal care products,PRATTVILLE
FLYNN,Apparel,New York
Samsung Group,Electronic Commerce,Seoul
Eastern Airlines,Air transportation,Miami
ARAMARK,Facilities Support Services,Philadelphia
Samsung Electronics America,Electronic Goods,Ridgefield Park
Oracle,Software,Redwood Shores
Dubai,Entertainment,Dubai
H&amp;R Block,Finance,Kansas City
'Twitter',Social Media,San Francisco
Royal Bank of Scotland,Banking,Edinburgh
Alphabet,Internet software & services,Mountain View
Naspers,Media,Johannesburg
Bank of America,Banking,Charlotte
'Apple',Technology hardware & equipment,Cupertino
British Sky Broadcasting Group PLC,Media,London
Hewlett Packard,Computer Hardware,Palo Alto
Google LLC,Software,Mountain View
Cisco Systems,Computer Software,San Jose
Nokia,Telephone communication equipment manufacturing,Espoo
Microsoft,Computer Software,Redmond
Kellogg,Food Products Industry,Battle Creek
Vanguard,Financial Services,Malvern
Acer,Computers & Peripherals,Cork
Cisco,Computer Software,San Jose
Coca-Cola Bottling Co,Beverages (Production and Distribution),Kolkata
Dillard's,Apparel & accessory stores,Little Rock
Energy Transfer,Oil & Gas Production,Denver
Vodafone,Telecommunications,Düsseldorf
Aldi,supermarkets,Rolle
Ford Motor Company,Automotive,Dearborn
Cisco Systems Inc,Computer Hardware & Software,San Jose
Samsung,Manufacturing,Seoul
A.P. Moller - Maersk,Shipping,Copenhagen
Deloitte,Consulting,New York
"Amazon.com, Inc.",Internet software & services,Seattle
Samsung Electronics,Computer Software,Suwon
GlaxoSmithKline,Pharmaceuticals,Brentford
Cisco Systems,Computer Software,Milpitas
Allen and Overy LLP,Law Practice,London
Adidas,Sporting goods,Hermosa Beach
Walmart Inc.,Grocery Stores,Bentonville
Aberdeen Asset Management,Asset Management,Glasgow
Liberty Mutual Insurance,Insurance,Boston
Fujifilm,Pharmaceuticals; Medical Products,Tokyo
Vodafone,Telecommunications,London
Stockholm,Food & Beverages,Stockholm
KenolKobil,Oil & Gas,Nairobi
The Coca-Cola Company,Food products,Atlanta
Landmark Group,Retail,Dubai
Nike,Clothing,Beaverton
American Airlines,Travel and Tourism,Fort Worth
Kate Spade New York,Apparel,New York
PepsiCo,Food Products,Purchase
Netflix Inc.,Motion Picture and Video Distribution,Los Gatos
Bed Bath & Beyond Inc,Miscellaneous Store Retailers,"Union, New Jersey"
KAZ Minerals,Mining,London
Trunk Club,Retail,Chicago
Mitsubishi Electric,"Electrical equipment, appliances and components",Tokyo
The Procter & Gamble Company,Consumer non-durables,Cincinnati
Airbnb,Travel,San Francisco
Huawei Technologies Co. Ltd.,Telecommunications manufacturing,Shenzhen
Mahindra & Mahindra,Auto,Mumbai
Tesla Motors,Manufacturing,Palo Alto
Goldex,Gold,Hong Kong
Virginia Mason Medical Center,health care,Seattle
SOLUTIONS,Credit services,Phoenix
Walmart,Retail,Bentonville
Everest Bank Limited,Banking,Kathmandu
GE Healthcare,Health Care: Biological Products (No Diagnostic Substances),Milwaukee
FedEx,Courier services,Memphis
Samsung,Manufacturing,Seoul
JPMorgan Chase,Finance,New York
Foxconn Technology,Electronics,Taipei
Motorola Solutions,Semiconductors,Chicago
Nestle,Food Products,vevey
Axalta Coating Systems,Manufacturing,Philadelphia
Walgreens,Health retail,Deerfield
JPMorgan Chase &amp; Co.,Banking,New York
Microsoft,Computer Software,Redmond
Disney,Entertainment,Burbank
Nova Chemicals,Chemicals,Calgary
LVMH,Manufacturing,Paris
Owens Corning,Construction materials,Toledo
FOGG FURNACE CO,Manufacturing,Pittsburgh
CISCO,Computer Software,San Jose
Burberry Group,Apparel & Luxury Goods,London
GE Healthcare,Medical Equipment & Supplies,Milwaukee
eBay,Internet Software & Services,San Jose
Bridgestone,Tires,Tokyo
Nestlé,Manufacturing,Winterthur
Anheuser-Busch InBev SA/NV,Beverages,Leuven
STARWOOD HOTELS & RESORTS WORLDWIDE INC,Hotels & Motels,White Plains
Tableau Software,Computer Software,Seattle
AIRBUS,Aerospace,Toulouse
Hilti,Manufacturing,Schaffhausen
Kimberly-Clark,Manufacturing,North Little Rock
JPMorgan Chase,Banking,New York
Citi,Banking,New York City
"H D Supply Holdings, Inc.",Wholesale trade,Greenville
Mitsubishi Heavy Industries,Aerospace & defense,Tokyo
Yahoo,Publishing and Broadcasting,Sunnyvale
Intel,Semiconductors,Santa Clara
Airbus Group,Aerospace & Defence,Toulouse
BETHEL LUTHERAN CHURCH\*,Religious institutions,Coon Rapids
Google,Internet software & services,Mountain View
T-Mobile,Telecommunications,Bellevue
Boston Scientific Corporation,Medical Equipment & Supplies,Natick
AstraZeneca,Pharmaceuticals,London
Ajinomoto Hong Kong Limited,Food Manufacturing,Kwun Tong
Ford Motor Company,Automotive,Dearborn
Huawei Technologies,Manufacturing,Shenzhen
GE Healthcare,Medical Equipment,Chicago
Dell,Computers & Peripherals,Round Rock
Tesla,Automotive,Palm Beach Gardens
"Cisco Systems, Inc.",Computer software,San Jose
Samsung,Major Appliances,Seoul
Huawei,Telecommunications equipment,Shenzhen
Tesco,Retail trade,Cheshire
NAVTEQ,Navigation software,Los Angeles
Cisco Systems,Information Technology,"San Jose, Los Angeles"
Nord Stream 2 AG,Oil & Gas Pipeline Transportation,Zug
British American Tobacco P.L.C.,Tobacco,London
ZUJI,travel agency,Melbourne
United Parcel Service,Transportation and Warehousing,Atlanta
Xerox,Computer Software,Norwalk
Volkswagen,Automotive,Wolfsburg
HP,Technology Hardware & Equipment,Palo Alto
Virgin Atlantic Airways,Air Transport,Fareham
Nestle,Consumer Goods,Vevey
Accenture,Management consulting,Dublin
Hisense,"Electrical equipment, appliances and components",Jinan
Laboratorios Hipolito,Drugs,Santa Cruz
Apollo Tyres Limited,Automotive Components,Gurugram
KONE,Industrial machinery and components,Helsinki
StanChart,Banks,Dubai
Royal Bank of Canada,Banking,Toronto
Google,Internet software & services,Mountain View
Samsung Electronics,Semiconductors & Other Electronic Components,Seoul
The Home Depot,Building Materials (Retail),Atlanta
Kohler,Manufacturing,Kohler
Boeing,Aerospace & Defense,Chicago
Amazon.com,Internet Software & Services,Seattle
Burger King,Restaurants,Miami
Alerus,Finance,Grand Forks
Mahindra & Mahindra,Manufacturing,Mumbai
The Coca-Cola Company,Beverage Manufacturing,Atlanta
Hertz,Rental and leasing services,Estero
Nestle,Food Products (Manufacturing),Vevey
Bharat Petroleum Corporation Limited,Petroleum Refining,Mumbai
Macy's Inc,Department Stores,Cincinnati
FedEx,Transportation and Warehousing,Memphis
MCDONALD'S,Restaurants,Boston
VMware,Software,Palo Alto
The Walt Disney Company,Entertainment,Burbank
Bannon,Limousine Service,Denver
Apple Inc.,Computer Software,Cupertino
3M,Industrial Machinery & Components,St Paul
Semiconductor Manufacturing International Corporation,Semiconductor Manufacturing,Shanghai
Airtel,Telecommunications,Bengaluru
Coca-Cola,Soft drinks manufacturing,Atlanta
Coca-Cola,Consumer Goods,Atlanta
BHP Group,Metals & Mining,London
Apple Inc.,Computer Software,Cupertino
Indian Oil Corporation Limited,Petroleum,New Delhi
Hamilton Beach Brands,Manufacturing,East Hartford
VIZIO,Television and Home Appliances,Irvine
Kraft Heinz Company,Food Products,Pittsburgh
Johnson,Wearable Devices Manufacturing,Kansas City
Lallemand Inc,Food & Staples Retailing,Montreal
Bullock's,Apparel & Footwear,San Francisco
Cummins,Automotive,Columbus
'Gates Industrial Corporation plc',Machinery Manufacturing,Hemel Hemstead
Avery Dennison,Industrial Machinery Manufacturing,Baoding
Autodesk Inc.,Software,San Rafael
Dell,Computer Hardware & Software,"Round Rock, TX"
Central National Bank,Finance,Haysville
ION Geophysical Corporation,Oil & Gas,Houston
Mitsubishi Heavy Industries,Manufacturing,Tokyo
Huawei Technologies,Telecommunications Equipment,Shenzhen
Microsoft,Software & IT Services,Redmond
Siemens Healthineers,Medical and Scientific Instruments,North Andover
Daimler,Automotive,Stuttgart
NASA,Aerospace & Defense,Washington DC
Kellogg's,Cereal Manufacturing,Battle Creek
Microsoft Corporation,Computer Software,Redmond
Microsoft,Software,Redmond
Kwik Trip,Grocery Store,La Crosse
Samsung,Semiconductors,Suwon-si
Murray Energy Corporation,Coal Mining,New Concord
American Airlines,Transportation,Fort Worth
Microsoft,Software,Redmond
Ford Motor Company,Manufacturing,Dearborn
AT&T,Telecommunications Services,Dallas
Mitsubishi Heavy Industries,"Aircraft, Engines & Parts",Tokyo
GRINDSTONE,Metal service centers and steel treatment,Pittsburgh
"Amazon.com, Inc.",Internet software & services,Seattle
Brown-Forman Corporation,Food & Staples Retailing,Louisville
Etihad Airways,Airlines,Abu Dhabi
Citibank,Banking,New York
Toyota,Automobiles & Motorcycles,Tokyo
Canon,Electronics,Tokyo
IBM,Telecommunications,Armonk
Boeing,Aerospace & Defense,Chicago
Huawei,Information Technology,Shenzhen
Walmart,Retail,Bentonville
Blockbuster,"Rental, Leasing, And Business Services",Dallas
United Parcel Service Inc,Transportation,Atlanta
Givaudan,Manufacturing (chemical products),Geneva
Microsoft Corporation,Software,Redmond
Woolworths,Food and beverages stores,Newcastle
Istanbul Stock Exchange,Securities Exchange,Istanbul
BURGER KING,Restaurant,Wichita
FedEx,Transportation,Memphis
Amazon,Information Technology,Seattle
Microsoft,Computer Software,Redmond
AFLAC,Finance,Columbus
Nokia,Technology Hardware & Equipment,Espoo
Coca-Cola Company,Non-Alcoholic Beverages,Atlanta
Microsemi Corporation,Semiconductor & Other Electronic Components,Aliso Viejo
HSBC,diversified banking,London
Coca-Cola,Beverages,Atlanta
"Cisco Systems, Inc.",Computer Software,San Jose
KIA,Manufacturing,Seoul
Microsoft,Computer software,Redmond
Arvest Bank,Banking,Fayetteville
Toyota,Automobile,Tokyo
Microsoft,Information Technology,Redmond
Heineken,Beverages (Production and distribution of alcoholic beverages),New York
Adobe,Computer Software,San Jose
J & J Snack Foods Corp,Snack Foods,Pennsauken
Nokia,Communications Equipment,Espoo
Northrop Grumman,Defense,Los Angeles
Audi,Automobiles,Ingolstadt
Microsoft,Computer Software,Redmond
"HARMAN INTERNATIONAL INDUSTRIES, INC.",Automotive Parts,"Saint-Joseph, MI"
Garmin,Technology,Schaffhausen
Nomura,Banking & Financial Services,London
Amazon,E-commerce,Seattle
Apple,Computer Software,Cupertino
P&G,Personal Products,Cincinnati
$5 \times \$250$,Retail,New York
WPP,Media,London
Samsung Electronics,Manufacturing,Seoul
Walmart,Retail Trade,Bentonville
National Bank of Greece,Banking,Athens
Eaton,Engineering Services,Indianapolis
Budget,Retail,San Francisco
Airtel,Telecommunications,Delhi
First Solar,Solar power industry,Tempe
MICROSOFT CORPORATION,Computer Software,Redmond
Windstream Communications,Telecommunications,Little Rock
American Express,Finance,New York
Adidas,Athletic Shoes,Herzogenaurach
GOLDMARK,Life Insurance,Kansas City
Applied Materials,Semiconductors,San Jose
Dominion Energy,"Electric Power Generation, Transmission and Distribution",Richmond
Hilton,Hotels,McLean
Cisco Systems,Technology,San Jose
BARCLAYS,Banking,London
PepsiCo,Food Products,Purchase
Nike,Apparel,Beaverton
Twitter,Internet software & services,San Francisco
Mcdonald's,Restaurant,Oak Brook
Mcdonald's,Fast food restaurant,Chicago
Google Inc.,Computer Software,Mountain View
Mcdonald's,Restaurants,London
Kroger Co,Grocery stores,Cincinnati
Nestle,Food Products,Vevey
CenturyLink,Telecommunications,Monroe
Amazon,Consumer Electronics,Seattle
Amazon,Retail,Seattle
Royal Bank of Canada,Banking,Toronto
Bank of America,Banks,Charlotte
Fiat,Automobile,Torino
Ford Motor Company,Automobiles,Dearborn
Coca-Cola,Soft Drinks,Atlanta
Adidas,Apparel & Fashion Retail,Herzogenaurach
Apple,Computer Hardware,Cupertino
Northrop Grumman,Defense,Los Angeles
Bank of America,Banks,Charlotte
Amazon,E-Commerce,Seattle
Cisco,Computer Software,San Jose
Eaton,electrical equipment manufacturing,London
Google Inc.,Computer Software,Mountain View
Vale,Materials,Belém
Amazon,Internet Software & Services,Seattle
Baxter International,Health Care Equipment,Deerfield
Cisco Systems,Networking and Network Management,San Jose
Cadbury,Food Manufacturing,Liverpool
Xerox,"Computer Peripheral Equipment, Not Elsewhere Classified",Norwalk
Nike Inc.,Apparel & Accessories (Incl. Jewelry),Beaverton
Nissan,Automobile Manufacturing,Yokohama
PepsiCo,Food Manufacturing,Purchase
Vinci,Construction,Paris
Coca-Cola,Drinks,Atlanta
Bharat Sanchar Nigam Limited,Telecommunications,New Delhi
Microsoft,Computer Software,Redmond
SEARS HARDWARE,"Hardware, building and garden supplies",Louisville
Tata Consultancy Services,Software,Mumbai
J.C. Penney,Department Stores,Plano
HITACHI,manufacturing,Tokyo
Miller,Food Products,Chicago
Tencent,Computer Software,Shenzhen
Samsung,Consumer electronics,Seoul
Microsoft,Technology,Redmond
SpiceJet,Transport,Gurugram
Toyota,Automotive,Toyota City
Wirecard,Financial Services,Aschheim
Coca-Cola,Beverage manufacturing,Atlanta
Ford,Motor vehicles,Dearborn
Mitsubishi Motors,Automotive,Tokyo
AstraZeneca,Pharmaceuticals,Macclesfield
H&R Block,Finance and Insurance,Kansas City
Federal-Mogul Corporation,Auto Parts,Southfield
'FedEx Corporation',Transportation,Memphis
Apple,Computer Software,Cupertino
Roche,Pharmaceuticals,Basel
Shell,Energy and Utilities,The Hague
Samsung,Consumer Electronics,Sungnam
